species,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58
Paretroplus_lamenabe,-0.15050098,-0.028376174,0.07632234,-0.062961489,-0.160193152,0.04121896,0.034707753,0.11399426,0.103954969,0.106265637,0.047020031,0.080223387,0.06078658,0.055879495,0.081891013,0.021094958,0.123590289,0.024169012,0.147934822,0.027247764,0.155930393,0.072495142,-0.171498824,-0.02570297,-0.158996447,-0.026321517,-0.147445348,-0.028886205,-0.138221492,-0.035342126,-0.128117452,-0.042491223,-0.117008069,-0.049275205,-0.105100454,-0.054888279,-0.092897381,-0.059550566,-0.080405466,-0.063416123,-0.067719171,-0.066374793,-0.054994634,-0.068702893,-0.042201836,-0.070163918,-0.029450472,-0.07108133,-0.01673075,-0.071633193,-0.004027143,-0.071828304,0.008685051,-0.071670621,0.021397314,-0.071100527,0.034068733,-0.070030994,0.046649945,-0.068469669,0.059161043,-0.066595226,0.071803894,-0.064408869,0.083975402,-0.060309009,0.095325914,-0.05455334,0.106030553,-0.047781869,0.115825157,-0.039825808,0.124853251,-0.031063178,0.133034967,-0.021658635,0.140475585,-0.011703923,0.147830694,-0.001599412,0.155150916,0.008536336,0.162435162,0.018651569,0.1698785,0.028394837,0.176971688,0.038612147,0.184321092,0.048722761,0.189422551,0.062825322,-0.177040675,0.035426394,-0.167249708,0.037632123,-0.156150478,0.04331505,-0.146860985,0.052146426,-0.136460004,0.061030393,-0.12490334,0.068474351,-0.113113714,0.074753378,-0.101002616,0.080402832,-0.08869269,0.085560324,-0.076418125,0.090666545,-0.06390794,0.095256861,-0.042126258,0.104771123
Paretroplus_tsimoly,-0.149406247,-0.029210483,0.071181951,-0.057841248,-0.161674396,0.036732699,0.02870553,0.111798423,0.104281503,0.10772068,0.041064469,0.075950266,0.055574693,0.052228293,0.079078204,0.019550314,0.122609848,0.017819479,0.151650893,0.022000921,0.166960353,0.064837245,-0.174784975,-0.029775499,-0.161415405,-0.028609113,-0.148819131,-0.028745916,-0.13753151,-0.033585658,-0.127166114,-0.040164144,-0.115823619,-0.04574496,-0.104103352,-0.050602543,-0.092053768,-0.054800079,-0.079759279,-0.057934258,-0.06739089,-0.060498602,-0.054902,-0.062338333,-0.042354897,-0.063814351,-0.029720874,-0.064704082,-0.017111982,-0.065381564,-0.004539161,-0.06559303,0.008037115,-0.065301497,0.020639657,-0.064624763,0.033175196,-0.063522964,0.045694448,-0.061969559,0.058214739,-0.060283711,0.070335115,-0.058066752,0.08167778,-0.054262358,0.092699622,-0.049014582,0.103677199,-0.042957078,0.114314807,-0.036462763,0.124541568,-0.029396942,0.134254766,-0.021531022,0.143531332,-0.013124211,0.152649229,-0.004284063,0.161022538,0.005649606,0.168156766,0.015443277,0.176998903,0.023111053,0.186136202,0.032889161,0.194174272,0.044464743,0.200444331,0.057412272,-0.184784822,0.028436149,-0.169374936,0.033140821,-0.157169684,0.039170199,-0.148078369,0.048921135,-0.137315871,0.057016928,-0.125858809,0.06399013,-0.114116339,0.070058736,-0.102115002,0.075829193,-0.089752325,0.081074781,-0.07724481,0.08647289,-0.064576815,0.092439114,-0.052537644,0.099987619
Paretroplus_nourissati,-0.151886104,-0.029130705,0.066938675,-0.056679392,-0.159797706,0.036810093,0.035689997,0.105688648,0.105777456,0.101925405,0.045846295,0.072237492,0.060439787,0.047107864,0.080671362,0.015585523,0.125777188,0.018528211,0.153878146,0.022946011,0.16435976,0.066943235,-0.182287911,-0.030577901,-0.163945416,-0.028008455,-0.151078388,-0.028572509,-0.139135426,-0.032569728,-0.127992484,-0.038157414,-0.116530952,-0.04328905,-0.104770686,-0.047708948,-0.092773321,-0.051483102,-0.080564998,-0.054688904,-0.068206667,-0.05718906,-0.055750821,-0.059172782,-0.043258872,-0.060539359,-0.030726481,-0.06137445,-0.018146228,-0.061731354,-0.005512391,-0.061741181,0.007161281,-0.061413368,0.019864806,-0.060774299,0.032566646,-0.059960383,0.045323275,-0.058902274,0.057865454,-0.057867065,0.069818164,-0.056091617,0.081376416,-0.052578246,0.092885977,-0.048049156,0.104182411,-0.04299156,0.115096726,-0.037134533,0.125605047,-0.030290832,0.135502699,-0.022320305,0.144971331,-0.01377158,0.154290068,-0.0048267,0.163047026,0.005038628,0.170483098,0.015110483,0.178882778,0.024230918,0.18709787,0.034663092,0.195256647,0.046439145,0.201826005,0.062290466,-0.191580423,0.027804167,-0.17200749,0.032266107,-0.158912839,0.036592896,-0.147092466,0.044494414,-0.136571775,0.053002905,-0.125423616,0.059666443,-0.113744679,0.065435739,-0.101536557,0.071095062,-0.089155995,0.076874982,-0.07671864,0.082731987,-0.064140264,0.088957507,-0.053232795,0.095118792
Paretroplus_damii_Anjingo,-0.154616343,-0.025605063,0.077340347,-0.065088164,-0.163223334,0.040012646,0.034511216,0.114907187,0.105671796,0.10510535,0.049556466,0.079306038,0.064109747,0.054228842,0.082495727,0.020690033,0.122249216,0.023066228,0.14808559,0.026252425,0.1526255,0.072313694,-0.169463738,-0.025058803,-0.158054578,-0.024308072,-0.147208088,-0.02902234,-0.137575293,-0.035671803,-0.127013887,-0.042342863,-0.115969218,-0.048615056,-0.104311126,-0.054309235,-0.092166625,-0.059112398,-0.079793738,-0.063000479,-0.06729226,-0.06617156,-0.054629213,-0.068689248,-0.041895484,-0.070458069,-0.029201056,-0.071848221,-0.01645299,-0.072848181,-0.003675583,-0.073507399,0.009139635,-0.073621963,0.021958442,-0.073219777,0.034784035,-0.072228853,0.047511977,-0.070680225,0.060104878,-0.068829928,0.073014906,-0.066549959,0.085353536,-0.061902828,0.096577362,-0.055620571,0.107160463,-0.048552507,0.117061071,-0.040630192,0.125991361,-0.031759923,0.134137941,-0.022229723,0.141692164,-0.012237555,0.14880332,-0.00194636,0.15604877,0.008134385,0.161870801,0.018842442,0.166765898,0.029895617,0.172448321,0.041122409,0.17787106,0.051414673,0.181958362,0.066880986,-0.176670426,0.035601068,-0.166974856,0.03745004,-0.15670655,0.044384479,-0.147045844,0.053083339,-0.136532243,0.061709414,-0.125135166,0.069420318,-0.113248561,0.075748003,-0.101179838,0.081519796,-0.088904043,0.086894046,-0.076503622,0.092020081,-0.064200336,0.09741482,-0.041255869,0.108248958
Paretroplus_damii,-0.152815917,-0.025287338,0.074846616,-0.065331362,-0.161999814,0.040727968,0.035490971,0.113328071,0.105134978,0.104848227,0.045011357,0.07922522,0.059324563,0.055383605,0.079911841,0.015896224,0.119564864,0.019204234,0.143874684,0.022406241,0.152215393,0.072573653,-0.171705558,-0.02488557,-0.15878834,-0.023834697,-0.146479359,-0.027192447,-0.13679963,-0.034118359,-0.126459469,-0.041045629,-0.115253285,-0.047080186,-0.103667134,-0.052528857,-0.091727577,-0.05734582,-0.079584915,-0.061502738,-0.067216586,-0.065183787,-0.054599374,-0.068052656,-0.041891757,-0.070296427,-0.029105848,-0.071816203,-0.01628415,-0.07288617,-0.003417394,-0.073396979,0.00941106,-0.073403071,0.022295413,-0.073002611,0.035071958,-0.071788305,0.047729475,-0.07023419,0.060428974,-0.068393206,0.07331018,-0.065903525,0.08554879,-0.061258294,0.097040079,-0.055312014,0.107817286,-0.048220515,0.11777348,-0.04018892,0.126797754,-0.031289821,0.135176118,-0.021879564,0.142803286,-0.011867523,0.14995738,-0.001516053,0.156770157,0.00891114,0.162618026,0.019973194,0.169288646,0.030497256,0.175760958,0.041065597,0.18156185,0.051471941,0.18605809,0.069183167,-0.178974428,0.034298652,-0.167702981,0.036830036,-0.157528289,0.044184383,-0.147946233,0.053067573,-0.137207841,0.061638538,-0.12549041,0.068866531,-0.113665928,0.075236355,-0.101398836,0.080850297,-0.088922133,0.08583565,-0.076445133,0.090553151,-0.063944945,0.09539928,-0.041570964,0.104586652
Paretroplus_loisellei,-0.153322799,-0.02855969,0.076448121,-0.060680824,-0.164804544,0.03758559,0.033650473,0.112689745,0.106258607,0.104207983,0.047852747,0.075953848,0.06273721,0.052744328,0.084987464,0.017461869,0.122801722,0.019912644,0.14874561,0.023756,0.159539468,0.06588822,-0.172475831,-0.027586281,-0.159658891,-0.0267837,-0.148168858,-0.030024365,-0.138456619,-0.036453047,-0.127391518,-0.042580906,-0.11589203,-0.048054953,-0.103979577,-0.052597833,-0.091906356,-0.056759724,-0.079575439,-0.060136303,-0.067163153,-0.063008319,-0.054647424,-0.065255875,-0.042051913,-0.066933539,-0.029425835,-0.06813282,-0.016774819,-0.068954913,-0.004095043,-0.069242075,0.008576272,-0.06896379,0.02121059,-0.068417871,0.033788928,-0.067378264,0.04637469,-0.065984032,0.058916976,-0.064215212,0.071423688,-0.062174758,0.083370621,-0.058335691,0.094535849,-0.052696702,0.105243385,-0.046135812,0.115561612,-0.038968817,0.125315067,-0.031044097,0.134405993,-0.022361127,0.142758907,-0.012929799,0.150636459,-0.003114466,0.158278998,0.00697713,0.164251846,0.017960281,0.170378591,0.028565667,0.177406777,0.038975953,0.183748711,0.049763126,0.188384482,0.063810876,-0.180771101,0.031674818,-0.167811325,0.035499752,-0.15753684,0.043123881,-0.148041768,0.052150408,-0.137118126,0.060457937,-0.125460239,0.067499547,-0.113609697,0.073617126,-0.101457625,0.079179911,-0.089186869,0.084508463,-0.076881623,0.089758155,-0.064597389,0.095206599,-0.045326614,0.105535747
Paretroplus_kieneri,-0.155069396,-0.031178612,0.081422358,-0.05631007,-0.164066428,0.037649672,0.043297787,0.105784189,0.111764708,0.095396922,0.061353443,0.072568166,0.074004006,0.052586281,0.09303884,0.018307055,0.130815405,0.029918012,0.15572991,0.032868476,0.158350238,0.068893947,-0.181186148,-0.030258913,-0.161725147,-0.029358303,-0.15111367,-0.031598872,-0.141113312,-0.036814295,-0.130399609,-0.043244003,-0.118618964,-0.048859872,-0.106477342,-0.053648001,-0.094159921,-0.057497895,-0.081635337,-0.060903519,-0.068935682,-0.063378417,-0.056362036,-0.065402282,-0.043686331,-0.066862175,-0.030951825,-0.067848525,-0.018217541,-0.068437973,-0.005483048,-0.068439465,0.007169142,-0.068041473,0.019759424,-0.067072249,0.032295124,-0.06571036,0.04477516,-0.063908339,0.057211393,-0.061741372,0.069594853,-0.059355192,0.081536159,-0.056484635,0.092582999,-0.051403771,0.103334145,-0.045194605,0.113775482,-0.038342176,0.123655912,-0.03073108,0.132740225,-0.022211497,0.141075496,-0.012889892,0.148704762,-0.002873798,0.15601525,0.007294037,0.163129471,0.017571957,0.168556957,0.028458631,0.173445295,0.039664444,0.178161972,0.050301651,0.180856308,0.067584832,-0.188205734,0.030656515,-0.168107589,0.035323016,-0.156665096,0.042298966,-0.146319243,0.050803042,-0.135666716,0.058750173,-0.124486401,0.066009827,-0.113049816,0.072783472,-0.101009547,0.078582138,-0.088692787,0.083684765,-0.076189189,0.088123591,-0.063428037,0.09182486,-0.027130328,0.102312999
Paretroplus_gymnopreopercularis,-0.15698165,-0.030189386,0.081583583,-0.054054418,-0.16465141,0.035351869,0.045158048,0.103618696,0.111817485,0.093443184,0.060142434,0.070317331,0.072629861,0.049817626,0.093425449,0.01654734,0.132997142,0.029382014,0.159647766,0.033845939,0.160580355,0.069690107,-0.18804575,-0.031343465,-0.163832531,-0.028934848,-0.152200875,-0.029862363,-0.141511198,-0.034324867,-0.130667572,-0.040594628,-0.118788054,-0.045447996,-0.106832014,-0.049809097,-0.094620268,-0.05351521,-0.082265608,-0.056714011,-0.069787761,-0.059221265,-0.057226904,-0.06124476,-0.044622495,-0.062771674,-0.031965639,-0.063799118,-0.019322395,-0.064465751,-0.006696367,-0.064608455,0.005934,-0.064249482,0.018557586,-0.063421836,0.031170676,-0.062296588,0.043778841,-0.060811762,0.056356615,-0.059035062,0.068827323,-0.05696336,0.080735533,-0.05453785,0.091900795,-0.05017238,0.102788376,-0.044349386,0.113487926,-0.037823269,0.123879952,-0.030822573,0.133627277,-0.022884859,0.142736383,-0.014031166,0.151064844,-0.004327045,0.159027264,0.005765848,0.166487551,0.016255852,0.172379175,0.027431746,0.177561991,0.03889712,0.182244246,0.05003716,0.184474215,0.068352617,-0.194753228,0.027866252,-0.170158906,0.032725338,-0.156931259,0.039029359,-0.1463006,0.047676551,-0.135262182,0.054746469,-0.123880185,0.061316078,-0.112194394,0.067209518,-0.100128616,0.072823509,-0.08798454,0.078090467,-0.076032493,0.082618217,-0.063117015,0.086119223,-0.028240784,0.097652499
Paretroplus_polyactis,-0.143640487,-0.027972512,0.078590258,-0.065757199,-0.155918861,0.038505095,0.037022822,0.121794373,0.11238958,0.106064443,0.049259087,0.083228282,0.062644009,0.057912845,0.08760653,0.017494114,0.122959855,0.027459015,0.147075366,0.031452707,0.15853469,0.073803772,-0.167560625,-0.027046817,-0.158216376,-0.025936568,-0.146044479,-0.026726126,-0.135684634,-0.032398228,-0.125733402,-0.039120087,-0.115605093,-0.046245467,-0.104873264,-0.053212848,-0.093334768,-0.059419687,-0.081188726,-0.064489563,-0.068798315,-0.068631591,-0.056181037,-0.072024662,-0.043310141,-0.074728384,-0.03034673,-0.076537591,-0.017362923,-0.077754981,-0.004295174,-0.078275336,0.008742531,-0.078153571,0.021722508,-0.077375341,0.034622698,-0.07599652,0.047397503,-0.073944872,0.059986685,-0.071317366,0.072695276,-0.06811681,0.084833817,-0.062943413,0.095541805,-0.055861108,0.105391059,-0.048113623,0.114374091,-0.039603459,0.122769705,-0.030592755,0.130724256,-0.021267222,0.138025779,-0.011435775,0.144961698,-0.001269352,0.151488005,0.008994354,0.157384507,0.019414182,0.162915725,0.030892219,0.170574632,0.041198343,0.17699531,0.051136487,0.182761182,0.061861278,-0.175962476,0.029810845,-0.164053621,0.03296249,-0.152546518,0.040649999,-0.144394926,0.050764019,-0.136224403,0.060690372,-0.126434042,0.070260721,-0.115351858,0.078777915,-0.103483104,0.086133696,-0.091289516,0.092739296,-0.078776272,0.09858215,-0.066352874,0.10366007,-0.037026327,0.116025754
Paretroplus_maromandia,-0.144931763,-0.026283895,0.080967024,-0.066101234,-0.15562694,0.040803952,0.039100541,0.119638867,0.111961599,0.10322668,0.051801193,0.080054963,0.067011726,0.055275349,0.087782003,0.019051324,0.122572168,0.028061801,0.148615294,0.032649245,0.153788947,0.075120049,-0.165377378,-0.024718628,-0.157288525,-0.023845192,-0.144700875,-0.025341352,-0.134429154,-0.031491296,-0.125136522,-0.038825494,-0.115199987,-0.046297132,-0.104648372,-0.053411779,-0.093689609,-0.059967349,-0.082447727,-0.06618945,-0.070455691,-0.071947276,-0.057559358,-0.076651051,-0.04402895,-0.080268688,-0.030156072,-0.082389495,-0.016528329,-0.083308335,-0.003094746,-0.083385553,0.010120769,-0.082704938,0.023440559,-0.081480217,0.036479982,-0.079147428,0.049210952,-0.07636148,0.061559248,-0.072820589,0.074007575,-0.069020746,0.086280928,-0.063437193,0.096011176,-0.055177748,0.10502166,-0.04682051,0.113783074,-0.038180777,0.122115338,-0.029233021,0.129856907,-0.019836725,0.137150048,-0.01004374,0.144207504,2.82E-05,0.150956547,0.010012502,0.156588796,0.019962035,0.160870464,0.030799271,0.165986956,0.042463559,0.171173701,0.052954233,0.176313228,0.067718415,-0.172742089,0.033120473,-0.163840617,0.03495574,-0.152848914,0.042290383,-0.145246575,0.05240738,-0.13678569,0.062315248,-0.12733974,0.072072077,-0.116544277,0.081240558,-0.104522202,0.089400381,-0.091583697,0.096097288,-0.078318483,0.10144112,-0.065430978,0.10536813,-0.034232645,0.116159117
