PC1,PC2,x1,y1,x2,y2,x3,y3,x4,y4,MKT
0.2,-0.1,-0.7179072,-0.10120005,-0.1545331,0.024140054,0.3203141,0.226215,0.5521262,-0.149155,1.1841827
0.175,-0.1,-0.7095103,-0.09503703,-0.1568339,0.022389225,0.3048751,0.2316,0.5614691,-0.1589522,1.1689076
0.15,-0.1,-0.7010117,-0.08881349,-0.1591479,0.020603985,0.2892684,0.2370884,0.5708913,-0.1688789,1.151067
0.125,-0.1,-0.692425,-0.08253966,-0.1614712,0.018786868,0.2735192,0.2426723,0.580377,-0.1789195,1.1310056
0.1,-0.1,-0.6837643,-0.07622628,-0.1637996,0.016940633,0.2576542,0.2483433,0.5899097,-0.1890577,1.1090349
0.075,-0.1,-0.6750448,-0.06988448,-0.1661288,0.015068243,0.2417011,0.2540921,0.5994725,-0.1992759,1.0854365
0.05,-0.1,-0.6662818,-0.06352574,-0.1684545,0.013172864,0.2256886,0.2599091,0.6090477,-0.2095562,1.0604613
0.025,-0.1,-0.6574914,-0.05716175,-0.1707722,0.011257794,0.2096458,0.265784,0.6186178,-0.2198801,1.0343359
0,-0.1,-0.6486897,-0.05080431,-0.1730777,0.009326499,0.1936025,0.2717063,0.6281649,-0.2302285,1.0072608
-0.025,-0.1,-0.639893,-0.04446524,-0.1753667,0.007382534,0.1775885,0.2776651,0.6376712,-0.2405823,0.9794168
-0.05,-0.1,-0.6311176,-0.03815623,-0.1776349,0.005429518,0.1616333,0.2836491,0.6471192,-0.2509224,0.9509671
-0.075,-0.1,-0.6223797,-0.03188881,-0.1798783,0.003471124,0.1457662,0.2896473,0.6564918,-0.2612296,0.922057
-0.1,-0.1,-0.613695,-0.02567414,-0.1820929,0.001510999,0.1300156,0.2956484,0.6657722,-0.2714853,0.8928182
0.2,-0.075,-0.7157227,-0.10543451,-0.1490665,0.018262425,0.3242042,0.2433905,0.540585,-0.1562184,1.1375588
0.175,-0.075,-0.7072922,-0.09928692,-0.1513495,0.01648416,0.308757,0.2488801,0.5498847,-0.1660773,1.1252778
0.15,-0.075,-0.6987605,-0.09307621,-0.1536489,0.014674597,0.2931389,0.2544643,0.5592705,-0.1760627,1.1105007
0.125,-0.075,-0.6901414,-0.08681257,-0.1559607,0.012836376,0.2773755,0.2601348,0.5687267,-0.1861586,1.0935037
0.1,-0.075,-0.6814493,-0.08050671,-0.158281,0.010972386,0.2614933,0.2658827,0.578237,-0.1963484,1.0745474
0.075,-0.075,-0.6726992,-0.07416976,-0.1606053,0.009085693,0.2455202,0.2716985,0.5877844,-0.2066145,1.0538767
0.05,-0.075,-0.6639069,-0.0678132,-0.1629295,0.00717954,0.2294849,0.2775723,0.5973515,-0.2169386,1.0317176
0.025,-0.075,-0.6550884,-0.06144874,-0.1652492,0.005257314,0.213417,0.2834935,0.6069206,-0.227302,1.0082793
0,-0.075,-0.6462599,-0.05508822,-0.16756,0.003322508,0.1973462,0.2894513,0.6164738,-0.2376856,0.9837546
-0.025,-0.075,-0.637438,-0.04874351,-0.1698577,0.001378711,0.1813024,0.2954348,0.6259933,-0.24807,0.9583198
-0.05,-0.075,-0.6286391,-0.04242638,-0.1721379,-0.000570446,0.1653155,0.3014327,0.6354614,-0.2584359,0.9321374
-0.075,-0.075,-0.6198793,-0.03614841,-0.1743965,-0.002521311,0.1494149,0.3074338,0.6448609,-0.2687641,0.9053551
-0.1,-0.075,-0.6111745,-0.02992088,-0.1766296,-0.004470246,0.1336292,0.313427,0.6541749,-0.2790359,0.8781081
0.2,-0.05,-0.7135042,-0.1096744,-0.1435913,0.012334634,0.3280958,0.2606719,0.5289997,-0.1633321,1.1043371
0.175,-0.05,-0.7050446,-0.10354602,-0.145855,0.010529492,0.3126494,0.2662641,0.5382502,-0.1732475,1.093899
0.15,-0.05,-0.6964847,-0.09735201,-0.1481381,0.008696236,0.2970295,0.2719418,0.5475934,-0.1832861,1.0810835
0.125,-0.05,-0.6878382,-0.09110251,-0.150437,0.006837662,0.2812613,0.2776964,0.5570139,-0.1934316,1.0661152
0.1,-0.05,-0.6791197,-0.08480816,-0.1527475,0.004956748,0.2653717,0.2835186,0.5664954,-0.2036672,1.049214
0.075,-0.05,-0.6703443,-0.07848007,-0.1550655,0.003056668,0.2493885,0.2893986,0.5760213,-0.2139752,1.0305907
0.05,-0.05,-0.6615279,-0.0721297,-0.1573867,0.001140745,0.2333406,0.295326,0.585574,-0.224337,1.0104468
0.025,-0.05,-0.6526866,-0.06576876,-0.1597069,-0.000787577,0.2172575,0.3012901,0.595136,-0.2347337,0.9889717
0,-0.05,-0.6438368,-0.05940913,-0.1620216,-0.002724738,0.2011691,0.30728,0.6046894,-0.2451461,0.9663447
-0.025,-0.05,-0.6349951,-0.05306267,-0.1643266,-0.004667154,0.1851054,0.3132845,0.6142162,-0.2555547,0.9427324
-0.05,-0.05,-0.6261779,-0.04674122,-0.1666175,-0.00661118,0.1690965,0.3192925,0.6236988,-0.2659401,0.9182906
-0.075,-0.05,-0.6174015,-0.04045642,-0.1688901,-0.008553184,0.1531718,0.3252926,0.6331198,-0.276283,0.8931641
-0.1,-0.05,-0.608682,-0.03421961,-0.1711405,-0.010489578,0.1373603,0.3312738,0.6424622,-0.2865647,0.8674865
0.2,-0.025,-0.7112552,-0.11391204,-0.1381173,0.006367021,0.3319816,0.2780287,0.517391,-0.1704836,1.0805952
0.175,-0.025,-0.7027714,-0.1078066,-0.1403602,0.004535706,0.3165453,0.2837211,0.5265863,-0.1804502,1.0713495
0.15,-0.025,-0.6941882,-0.10163311,-0.1426256,0.002679547,0.3009329,0.2894898,0.535881,-0.1905362,1.0598489
0.125,-0.025,-0.6855194,-0.09540163,-0.14491,0.000801463,0.2851697,0.2953257,0.5452596,-0.2007256,1.0462808
0.1,-0.025,-0.6767797,-0.08912275,-0.1472093,-0.001095441,0.2692826,0.3012192,0.5547064,-0.211001,1.030833
0.075,-0.025,-0.6679844,-0.08280752,-0.1495194,-0.003007912,0.2532993,0.30716,0.5642045,-0.2213446,1.0136903
0.05,-0.025,-0.6591493,-0.07646736,-0.1518362,-0.004932544,0.2372488,0.3131376,0.5737367,-0.2317377,0.9950307
0.025,-0.025,-0.6502906,-0.07011397,-0.1541554,-0.006865836,0.2211605,0.3191412,0.5832855,-0.2421614,0.9750266
0,-0.025,-0.641425,-0.06375919,-0.1564726,-0.008804201,0.2050646,0.3251595,0.592833,-0.2525962,0.953843
-0.025,-0.025,-0.6325689,-0.05741494,-0.1587835,-0.010744012,0.188991,0.3311814,0.6023614,-0.2630225,0.931636
-0.05,-0.025,-0.6237389,-0.05109305,-0.1610838,-0.012681651,0.1729699,0.3371956,0.6118527,-0.2734209,0.9085531
-0.075,-0.025,-0.6149513,-0.04480519,-0.1633691,-0.014613513,0.1570308,0.3431908,0.6212896,-0.2837721,0.884734
