species	subfamily	body_centroid_size	jaw_centroid_size	MKT
Paretroplus_lamenabe	Etroplinae	44.91203	2.318948483	0.8940651
Paretroplus_tsimoly	Etroplinae	32.32511857	1.5399058	0.8062424
Paretroplus_nourissati	Etroplinae	26.36892917	1.276342217	0.8215598
Paretroplus_damii_Anjingo	Etroplinae	33.649709	1.492759367	0.8793671
Paretroplus_damii	Etroplinae	46.18400667	1.40851832	0.8045335
Paretroplus_loisellei	Etroplinae	36.19981889	1.6598881	0.9045538
Paretroplus_kieneri	Etroplinae	33.60176923	1.183364314	0.8455701
Paretroplus_gymnopreopercularis	Etroplinae	26.76653556	1.16313574	0.8369503
Paretroplus_polyactis	Etroplinae	38.937944	1.2838349	0.8911836
Paretroplus_maromandia	Etroplinae	32.11451333	1.3077998	0.9092738
Paretroplus_menarambo	Etroplinae	40.281352	1.473789386	0.8397094
Paretroplus_maculatus	Etroplinae	32.11501769	1.00675554	0.9120354
Paretroplus_dambabe	Etroplinae	40.28190571	1.564923278	0.8076991
Ptychochromoides_itasy	Ptychochrominae	30.868925	1.31630275	0.8271864
Ptychochromoides_betsileanus	Ptychochrominae	43.6943575	2.02285485	0.8797503
Ptychochromoides_vondrozo	Ptychochrominae	39.03188	1.894083025	1.0064294
Oxylapia_polli	Ptychochrominae	26.31303	1.11295865	0.8148373
Katria_katria	Ptychochrominae	28.538393	0.855285383	0.9889722
Ptychochromis_makira	Ptychochrominae	35.93208	1.5162599	0.8833873
Ptychochromis_new_sp	Ptychochrominae	33.92847333	1.48650145	0.9304965
Ptychochromis_grandidieri	Ptychochrominae	41.17554231	0.9360833	0.9690698
Ptychochromis_inornatus	Ptychochrominae	26.28518875	1.165671743	1.0851896
Ptychochromis_insolitus	Ptychochrominae	14.39679	0.655463	1.1973811
Ptychochromis_oligacanthus	Ptychochrominae	25.5539125	1.385006983	0.9973101
Ptychochromis_loisellei	Ptychochrominae	30.13648125	1.252259489	0.9793885
Paratilapia_polleni	Ptychochrominae	30.08722909	1.019770717	1.1934483
